,gRNAs at position of ,,,,,,,,
Key,mU6 (P3),U6 (P2),H1 (P1),Plasmid,Cell_D9,Cell_D15_rep1,Cell_D26_rep1,Cell_D15_rep2,Cell_D26_rep2
"1,6,29",dummyguide_1,DNMT1_2,PIK3C3_1,24.71,5.44,16.58,16.53,24.12,11.77
"1,6,30",dummyguide_1,DNMT1_2,PIK3C3_2,33.58,41.17,44.41,61.35,45.74,24.15
"1,6,31",dummyguide_1,DNMT1_2,TGFB1_1,19.12,20.24,18.54,56.54,56.01,53.81
"1,6,32",dummyguide_1,DNMT1_2,TGFB1_2,15.76,20.89,23.9,56.31,35.82,70.69
"1,7,1",dummyguide_1,EGFR_1,dummyguide_1,23.18,33.73,51.77,63.87,61.71,53.69
"1,7,2",dummyguide_1,EGFR_1,dummyguide_2,18.85,14.28,17.45,19.84,29.58,34
"1,7,3",dummyguide_1,EGFR_1,CDK4_3,20.57,25.77,24.96,27.99,18.87,52.92
"1,7,4",dummyguide_1,EGFR_1,CDK4_2,41.54,34.76,64.34,71.14,55.67,119.77
"1,7,5",dummyguide_1,EGFR_1,DNMT1_1,50.66,47.85,84.06,69.08,60.43,65.88
"1,7,6",dummyguide_1,EGFR_1,DNMT1_2,18.28,14.31,7.44,32.31,28.84,46.65
"1,7,7",dummyguide_1,EGFR_1,EGFR_1,20.54,17.13,12.16,18.4,26.09,12.73
"1,7,8",dummyguide_1,EGFR_1,EGFR_2,13.34,20,27.64,17.91,14.49,4.88
"1,7,9",dummyguide_1,EGFR_1,ERBB2_1,31.35,27.54,26.43,22.62,19.8,8.46
"1,7,10",dummyguide_1,EGFR_1,ERBB2_2,29.52,38.79,58.38,39.94,51.49,66.62
"1,7,11",dummyguide_1,EGFR_1,HDAC1_1,48.78,56.37,51.62,41.38,60.29,75.12
"1,7,12",dummyguide_1,EGFR_1,HDAC1_2,15.6,6.68,14.8,18.96,5.6,14.35
"1,7,13",dummyguide_1,EGFR_1,IKBKB_1,19.82,27.08,28.89,28.02,26.68,49.19
"1,7,14",dummyguide_1,EGFR_1,IKBKB_2,23.5,37.4,21.86,19.45,20.44,16.54
"1,7,15",dummyguide_1,EGFR_1,MAP2K1_1,30.71,20.84,23.52,20.04,24.12,37.04
"1,7,16",dummyguide_1,EGFR_1,MAP2K1_2,12.91,11.63,26.55,7.2,31.94,27.08
"1,7,17",dummyguide_1,EGFR_1,MTOR_1,13.93,11.23,5.93,,1.13,2.65
"1,7,18",dummyguide_1,EGFR_1,MTOR_2,11.16,7.26,11.06,16.24,12.28,5.31
"1,7,19",dummyguide_1,EGFR_1,POLA1_1,35.25,16.57,8.61,4.19,12.92,9.96
"1,7,20",dummyguide_1,EGFR_1,POLA1_2,15.33,10.32,4.08,6.52,7.17,6.96
"1,7,21",dummyguide_1,EGFR_1,TOP1_1,21.65,7.98,13.33,15.03,12.58,9.96
"1,7,22",dummyguide_1,EGFR_1,TOP1_2,8.71,5.35,2.3,2.75,6.24,0.69
"1,7,23",dummyguide_1,EGFR_1,TUBA1A_1,24.12,27.99,16.12,20.49,22.36,26.31
"1,7,24",dummyguide_1,EGFR_1,TUBA1A_2,31.49,15.5,10.91,,6.68,
"1,7,25",dummyguide_1,EGFR_1,TYMS_1,29.93,23.3,34.17,10.84,21.72,19.58
"1,7,26",dummyguide_1,EGFR_1,TYMS_3,27.64,26.28,18.09,10.71,35.87,25.81
"1,7,27",dummyguide_1,EGFR_1,FGF2_1,24.55,21.64,39.27,36.64,31.4,22.96
"1,7,28",dummyguide_1,EGFR_1,FGF2_2,12.32,18.35,9.1,8.54,13.66,2.23
"1,7,29",dummyguide_1,EGFR_1,PIK3C3_1,25.63,23.41,26.77,21.51,20.93,27.27
"1,7,30",dummyguide_1,EGFR_1,PIK3C3_2,33.29,38.73,33.8,34.77,31.69,44.85
"1,7,31",dummyguide_1,EGFR_1,TGFB1_1,19.15,30.25,34.7,63.65,45.4,70.65
"1,7,32",dummyguide_1,EGFR_1,TGFB1_2,10.59,13.16,20.35,35.39,22.5,26.54
"1,8,1",dummyguide_1,EGFR_2,dummyguide_1,31.7,31.81,29.57,23.74,29.97,47.88
"1,8,2",dummyguide_1,EGFR_2,dummyguide_2,16.16,15.89,38.44,45.38,18.72,15.35
"1,8,3",dummyguide_1,EGFR_2,CDK4_3,15.46,15.2,12.84,11.56,23.19,24.88
"1,8,4",dummyguide_1,EGFR_2,CDK4_2,23.69,19.47,25.94,26.09,33.75,27.62
"1,8,5",dummyguide_1,EGFR_2,DNMT1_1,66.23,73.44,79.3,97.66,62.06,83.23
"1,8,6",dummyguide_1,EGFR_2,DNMT1_2,45.68,38.3,30.51,34.08,43.48,35.46
"1,8,7",dummyguide_1,EGFR_2,EGFR_1,23.23,28.1,48.52,90.92,50.61,42.88
"1,8,8",dummyguide_1,EGFR_2,EGFR_2,14.63,24.02,34.36,62.5,32.62,21.65
"1,8,9",dummyguide_1,EGFR_2,ERBB2_1,14.33,8.82,14.2,4.91,7.42,8.31
"1,8,10",dummyguide_1,EGFR_2,ERBB2_2,23.04,7.24,10.84,0.1,2.26,4.73
"1,8,11",dummyguide_1,EGFR_2,HDAC1_1,31.76,41.29,36.51,73.76,54.49,50
"1,8,12",dummyguide_1,EGFR_2,HDAC1_2,30.25,27.08,16.01,22.07,23.49,28.35
"1,8,13",dummyguide_1,EGFR_2,IKBKB_1,59.18,52.42,53.28,93.11,57.24,57.54
"1,8,14",dummyguide_1,EGFR_2,IKBKB_2,17.42,13.77,20.73,15.52,14.99,12.5
"1,8,15",dummyguide_1,EGFR_2,MAP2K1_1,21.57,40.45,44.9,98.58,57.68,54.58
"1,8,16",dummyguide_1,EGFR_2,MAP2K1_2,34.42,61.79,94.63,116.94,82.15,98.12
"1,8,17",dummyguide_1,EGFR_2,MTOR_1,14.14,21.01,13.14,17.58,20.34,20.77
"1,8,18",dummyguide_1,EGFR_2,MTOR_2,21.24,10.92,6.34,,3.34,3.46
"1,8,19",dummyguide_1,EGFR_2,POLA1_1,43.43,18.51,19.75,8.81,18.08,27.54
"1,8,20",dummyguide_1,EGFR_2,POLA1_2,30.73,8.59,9.06,10.05,11.1,10.92
"1,8,21",dummyguide_1,EGFR_2,TOP1_1,29.95,18.25,13.33,8.64,6.29,3.77
"1,8,22",dummyguide_1,EGFR_2,TOP1_2,14.6,6.56,7.29,0.03,3.1,5.5
"1,8,23",dummyguide_1,EGFR_2,TUBA1A_1,33.34,52.47,38.4,62.2,38.86,73.96
"1,8,24",dummyguide_1,EGFR_2,TUBA1A_2,23.58,28.11,14.16,41.94,16.9,20.69
"1,8,25",dummyguide_1,EGFR_2,TYMS_1,16.51,19,16.84,4.09,27.96,7
"1,8,26",dummyguide_1,EGFR_2,TYMS_3,35.6,35.92,49.58,47.34,32.48,24.85
